type,value,malware_family,first_seen,severity,source,reference
hash_md5,55e27438cf7f3c4397b5cf32ea3514b5,AsyncRAT,2026-03-07,high,MalwareBazaar,a40193b7b352fe3a14cfe1ca65c9b5250c663f0240cbcda9be70b7898e57f31f
hash_sha256,a40193b7b352fe3a14cfe1ca65c9b5250c663f0240cbcda9be70b7898e57f31f,AsyncRAT,2026-03-07,high,MalwareBazaar,PERIS-2026-03-09-001
filename,RobloxHack.exe,AsyncRAT,2026-03-07,high,Peris.ai,PERIS-2026-03-09-001
filename,Stub.exe,AsyncRAT,2026-03-07,medium,Peris.ai,PERIS-2026-03-09-001
domain,pastebin.com,AsyncRAT,2026-03-07,medium,Static Analysis,PERIS-2026-03-09-001
port,6606,AsyncRAT,2026-03-07,medium,Static Analysis,PERIS-2026-03-09-001
port,7707,AsyncRAT,2026-03-07,medium,Static Analysis,PERIS-2026-03-09-001
port,8888,AsyncRAT,2026-03-07,medium,Static Analysis,PERIS-2026-03-09-001
behavior,RtlSetProcessIsCritical,AsyncRAT,2026-03-07,high,Static Analysis,PERIS-2026-03-09-001
registry,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,AsyncRAT,2026-03-07,high,Behavioral Analysis,PERIS-2026-03-09-001
