2026-04-09,,,,,
2026-04-09,ioc_type,ioc_value,threat_name,threat_type,severity
2026-04-09,hash-sha256,1ab4672076f63692e67555ebea72d9d7593928012ea7277776057e354d70364d,AsyncRAT,malware,high
2026-04-09,hash-md5,6782b6d750b717ea2c048b8ee00ece17,AsyncRAT,malware,high
2026-04-09,hash-sha256,a9b670ff357cbb942a795c8524999072cd9466486b9c28b5b0d809b01547293b,AgentTesla-SteganoLoader,malware,high
2026-04-09,hash-md5,155dfdc4eb24f4e4622168fc015a93db,AgentTesla-SteganoLoader,malware,high
2026-04-09,hash-sha1,9ba90e762751aff73ce894bc278e3053d9a31c0c,AgentTesla-SteganoLoader,malware,high
2026-04-09,filename,new_order3223.com.exe,AgentTesla-SteganoLoader,malware,high
2026-04-09,filename,EQwhl.exe,AgentTesla-SteganoLoader,malware,high
2026-04-09,filename,v4.msi,Warlock-Storm2603,ransomware,critical
2026-04-09,filename,pic1.png,Shadow-Campaigns-TGR-STA-1030,apt,critical
2026-04-09,filepath,swsecret,Shadow-Campaigns-TGR-STA-1030,apt,critical
2026-04-09,filename,NSecKrnl.sys,Reynolds-Ransomware,ransomware,high
2026-04-09,filename,AsyncRAT.pdb,AsyncRAT,malware,medium
2026-04-09,domain,dog3rj.tech,Shadow-Campaigns-TGR-STA-1030,apt,critical
2026-04-09,domain,mega.nz,Shadow-Campaigns-TGR-STA-1030,apt,critical
2026-04-09,domain,files.catbox.moe,CVE-2025-40551-SolarWinds-WHD,cve,critical
2026-04-09,domain,pastebin.com,AsyncRAT,malware,medium
2026-04-09,domain,gotohttp.com,Reynolds-Ransomware,ransomware,high
2026-04-09,url,https://mega.nz/file/,Shadow-Campaigns-TGR-STA-1030,apt,critical
2026-04-09,cve,CVE-2026-24423,Warlock-Storm2603,cve,critical
2026-04-09,cve,CVE-2026-23760,Warlock-Storm2603,cve,critical
2026-04-09,cve,CVE-2025-40551,SolarWinds-WHD-RCE,cve,critical
2026-04-09,cve,CVE-2025-26399,SolarWinds-WHD-RCE,cve,critical
2026-04-09,cve,CVE-2026-1731,BeyondTrust-RS-PRA,cve,critical
2026-04-09,cve,CVE-2026-21510,Microsoft-PatchTuesday-Feb2026,cve,high
2026-04-09,cve,CVE-2026-21513,Microsoft-PatchTuesday-Feb2026,cve,high
2026-04-09,cve,CVE-2026-21514,Microsoft-PatchTuesday-Feb2026,cve,high
2026-04-09,cve,CVE-2026-21519,Microsoft-PatchTuesday-Feb2026,cve,critical
2026-04-09,cve,CVE-2026-21525,Microsoft-PatchTuesday-Feb2026,cve,medium
2026-04-09,cve,CVE-2026-21533,Microsoft-PatchTuesday-Feb2026,cve,high
2026-04-09,cve,CVE-2026-21643,Fortinet-FortiClientEMS,cve,critical
2026-04-09,cve,CVE-2026-24858,Fortinet-FortiCloud-SSO,cve,critical
2026-04-09,cve,CVE-2025-68947,Reynolds-Ransomware,cve,medium
2026-04-09,cve,CVE-2025-52691,Warlock-Storm2603,cve,critical
2026-04-09,tool,Diaoyu,Shadow-Campaigns-TGR-STA-1030,apt,critical
2026-04-09,tool,ShadowGuard,Shadow-Campaigns-TGR-STA-1030,apt,critical
2026-04-09,tool,VShell,Shadow-Campaigns-TGR-STA-1030,apt,critical
2026-04-09,tool,Cobalt Strike,Shadow-Campaigns-TGR-STA-1030,apt,critical
2026-04-09,tool,Behinder,Shadow-Campaigns-TGR-STA-1030,apt,high
2026-04-09,tool,Godzilla,Shadow-Campaigns-TGR-STA-1030,apt,high
2026-04-09,tool,Neo-reGeorg,Shadow-Campaigns-TGR-STA-1030,apt,high
2026-04-09,tool,GOST,Shadow-Campaigns-TGR-STA-1030,apt,high
2026-04-09,tool,FRPS,Shadow-Campaigns-TGR-STA-1030,apt,high
2026-04-09,tool,IOX,Shadow-Campaigns-TGR-STA-1030,apt,high
2026-04-09,tool,Velociraptor,Warlock-Storm2603,ransomware,critical
2026-04-09,tool,SimpleHelp,Warlock-Storm2603,ransomware,high
2026-04-09,tool,Cloudflared,CVE-2025-40551-SolarWinds-WHD,cve,high
2026-04-09,tool,Zoho ManageEngine Assist,CVE-2025-40551-SolarWinds-WHD,cve,high
2026-04-09,tool,GotoHTTP,Reynolds-Ransomware,ransomware,high
2026-04-09,tool,REPTILE,UNC3886-Singapore-Telco,apt,high
2026-04-09,tool,MEDUSA,UNC3886-Singapore-Telco,apt,high
2026-04-09,tool,MOPSLED,UNC3886-Singapore-Telco,apt,high
2026-04-09,tool,RIFLESPINE,UNC3886-Singapore-Telco,apt,high
2026-04-09,tool,DKnife,DKnife-AitM-Framework,framework,high
2026-04-09,tool,ShadowPad,DKnife-AitM-Framework,apt,high
2026-04-09,tool,DarkNimbus,DKnife-AitM-Framework,apt,high
2026-04-09,tool,PhoenixMiner,SSHStalker,botnet,medium
2026-04-09,scheduled-task,TPMProfiler,CVE-2025-40551-SolarWinds-WHD,cve,critical
2026-04-09,registry,DisableAntiSpyware,CVE-2025-40551-SolarWinds-WHD,cve,high
2026-04-09,registry,DisableRealtimeMonitoring,CVE-2025-40551-SolarWinds-WHD,cve,high
2026-04-09,domain,tapnetic.pro,AiFrame Chrome Extension Campaign,malware,high
2026-04-09,chrome-extension-id,fppbiomdkfbhgjjdmojlogeceejinadg,AiFrame Chrome Extension Campaign,malware,high
2026-04-09,chrome-extension-id,gghdfkafnhfpaooiolhncejnlgglhkhe,AiFrame Chrome Extension Campaign,malware,high
2026-04-09,chrome-extension-id,nlhpidbjmmffhoogcennoiopekbiglbp,AiFrame Chrome Extension Campaign,malware,high
2026-04-09,chrome-extension-id,acaeafediijmccnjlokgcdiojiljfpbe,AiFrame Chrome Extension Campaign,malware,high
2026-04-09,chrome-extension-id,kblengdlefjpjkekanpoidgoghdngdgl,AiFrame Chrome Extension Campaign,malware,high
2026-04-09,chrome-extension-id,llojfncgbabajmdglnkbhmiebiinohek,AiFrame Chrome Extension Campaign,malware,high
2026-04-09,chrome-extension-id,djhjckkfgancelbmgcamjimgphaphjdl,AiFrame Chrome Extension Campaign,malware,high
2026-04-09,chrome-extension-id,fdlagfnfaheppaigholhoojabfaapnhb,AiFrame Chrome Extension Campaign,malware,high
2026-04-09,filename,vhost.exe,Crazy Ransomware,ransomware,high
2026-04-09,file-path,C:\ProgramData\OneDriveSvc\OneDriveSvc.exe,Crazy Ransomware,ransomware,high
2026-04-09,domain,indonesia.cysecglobal.com,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium
2026-04-09,domain,indosecsummit.com,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium
2026-04-09,url,https://indosecsummit.com/,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium
2026-04-09,url,https://indonesia.cysecglobal.com/,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium
2026-04-09,cve,CVE-2026-26110,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium
2026-04-09,cve,CVE-2026-21385,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium
2026-04-09,cve,CVE-2026-21536,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium
2026-04-09,filename,indosecsummit.com,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium
2026-04-09,filename,cysecglobal.com,Indonesia Cybersecurity Assessment 2026 - Regional Threat Landscape,unknown,medium
2026-04-09,domain,triage.json,Malware Analysis Skill,unknown,medium
2026-04-09,domain,static.json,Malware Analysis Skill,unknown,medium
2026-04-09,domain,triage.py,Malware Analysis Skill,unknown,medium
2026-04-09,domain,iocs.json,Malware Analysis Skill,unknown,medium
2026-04-09,hash-md5,e3b0c44298fc1c149afbf4c8996fb924,Check for requests library,unknown,medium
2026-04-09,hash-md5,44d88612fea8a8f36de82e1278abb02f,Check for requests library,unknown,medium
2026-04-09,ipv4,45.33.32.156,Check for requests library,unknown,medium
2026-04-09,domain,auth.abuse.ch,Check for requests library,unknown,medium
2026-04-09,domain,result.get,Check for requests library,unknown,medium
2026-04-09,domain,self.session.request,Check for requests library,unknown,medium
